<<<<<<< HEAD
Dataset,eval_f1_macro,eval_f1_micro,eval_accuracy_balanced,eval_accuracy_not_b
Military,0.7225594427496028,0.9343609101394569,0.8151925087830448,0.9343609101394569
Morality,0.6587786611858685,0.9286713286713286,0.6424313563412997,0.9286713286713286
Hate,0.5545619429928528,0.8429276872082798,0.5430383101942996,0.8429276872082798
Corona,0.5588078932169773,0.6002721088435374,0.6048387068841088,0.6002721088435374
=======
Dataset,eval_f1_macro,eval_f1_micro,eval_accuracy_balanced,eval_accuracy_not_b
Military,0.7225594427496028,0.9343609101394569,0.8151925087830448,0.9343609101394569
Morality,0.6587786611858685,0.9286713286713286,0.6424313563412997,0.9286713286713286
Hate,0.5545619429928528,0.8429276872082798,0.5430383101942996,0.8429276872082798
Corona,0.5588078932169773,0.6002721088435374,0.6048387068841088,0.6002721088435374
>>>>>>> 53c9b4e0ed2869a8c28af646c60a06b6f826806d
